Date,Average of OEE VALUE
01-01-2015, 58.67
01-02-2015, 56.75
01-03-2015, 59.92
01-04-2015, 58.55
01-05-2015, 58.45
01-06-2015, 57.78
01-07-2015, 60.9
01-08-2015, 59.07
01-09-2015, 57.13
01-10-2015, 60.58
01-11-2015, 58.1
01-12-2015, 59.81
01-01-2016, 63.24
01-02-2016, 62.25
01-03-2016, 64.37
01-04-2016, 63.65
01-05-2016, 63.77
01-06-2016, 62.78
01-07-2016, 65.81
01-08-2016, 64.01
01-09-2016, 62.96
01-10-2016, 66.32
01-11-2016, 65.11
01-12-2016, 64.48
01-01-2017, 68.59
01-02-2017, 68.67
01-03-2017, 70.4
01-04-2017, 68.38
01-05-2017, 69.75
01-06-2017, 68.09
01-07-2017, 71.19
01-08-2017, 69.06
01-09-2017, 67.76
01-10-2017, 71.61
01-11-2017, 68.87
01-12-2017, 68.49
01-01-2018, 69.35
01-02-2018, 65.99
01-03-2018, 69.23
01-04-2018, 67.29
01-05-2018, 69.89
01-06-2018, 68.21
01-07-2018, 72.36
01-08-2018, 70.28
01-09-2018, 67.95
01-10-2018, 71.14
01-11-2018, 68.24
01-12-2018, 67.23
01-01-2019, 63.97
01-02-2019, 61.43
01-03-2019, 62.82
01-04-2019, 64.04
01-05-2019, 63.52
01-06-2019, 60.36
01-07-2019, 63.12
01-08-2019, 61.68
01-09-2019, 64.21
01-10-2019, 61.79
01-11-2019, 63.67
01-12-2019, 61.73
01-01-2020, 71.77
01-02-2020, 70.27
01-03-2020, 71.69
01-04-2020, 71.94
01-05-2020, 70.73
01-06-2020, 71.11
01-07-2020, 72.57
01-08-2020, 73.67
01-09-2020, 71.74
01-10-2020, 71.75
01-11-2020, 71.09
01-12-2020, 72.72
01-01-2021, 70.22
01-02-2021, 72.69
01-03-2021, 71.01
01-04-2021, 74.42
01-05-2021, 72.38
01-06-2021, 72.15
01-07-2021, 74.83
01-08-2021, 74.73
01-09-2021, 71.37
01-10-2021, 73.82
01-11-2021, 73.94
01-12-2021, 71.84
01-01-2022, 78.58
01-02-2022, 77.53
01-03-2022, 76.76
01-04-2022, 75.37
01-05-2022, 74.29
01-06-2022, 76.9
01-07-2022, 73.57
01-08-2022, 76.79
01-09-2022, 76.79
01-10-2022, 73.2
01-11-2022, 74.24
01-12-2022, 75.73
01-01-2023, 79.82
01-02-2023, 81.23
01-03-2023, 79.75
01-04-2023, 82.23
01-05-2023, 79.12
01-06-2023, 82.25
01-07-2023, 82.13
01-08-2023, 80.05
01-09-2023, 81.06
01-10-2023, 79.5
01-11-2023, 80.94
01-12-2023, 82.16
